year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.88
2004,,2.16,1.88
2005,,2.72,3.45
2011,,3.46,5.52
2012,,4.21,6.18
2013,,4.45,6.51
2014,,,7.19
2016,start of forecast,2.27,4.47
2017,,2.7,4.9
2018,,3.02,5.22
2019,,3.46,5.66
2020,,3.66,5.86
2021,,3.81,6.01
2022,,3.91,6.11
2023,,3.99,6.19
2024,,4.05,6.25
2025,,4.12,6.32
2026,,4.21,6.41
2027,,4.28,6.48
2028,,4.34,6.54
2029,,4.43,6.63
2030,,4.48,6.68
2031,,4.57,6.77
2032,,4.66,6.86
2033,,4.75,6.95
2034,,4.85,7.05
2035,,4.91,7.11
2036,,5.01,7.21
2037,,5.07,7.27
2038,,5.16,7.36
2039,,5.24,7.44
2040,,5.34,7.54
