year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,158732.0,117368.727779
2018,158732.0,117368.727779
2019,158732.0,117368.727779
2020,158732.0,117368.727779
2021,158732.0,117368.727779
2022,158732.0,117368.727779
2023,158732.0,117368.727779
2024,158732.0,117368.727779
2025,158732.0,117368.727779
2026,158732.0,117368.727779
2027,158732.0,117368.727779
2028,158732.0,117368.727779
2029,158732.0,117368.727779
2030,158732.0,117368.727779
2031,158732.0,117368.727779
2032,,
2033,,
2034,,
2035,,
2036,,
