year,Base case diesel consumed,Modeled solar power
2020,64449.3670737,63487.3719833
2021,64542.099976,63587.8008463
2022,64820.2986828,63873.6339461
2023,65005.7644873,64066.6730686
2024,65191.2302918,64259.6516044
2025,65283.9631941,64359.8371362
2026,65469.4289986,64552.6959492
2027,65562.1619009,64652.7627159
2028,65840.3606077,64938.2366161
2029,65933.0935099,65038.1865103
2030,66118.5593145,65230.8115708
2031,66211.2922167,65330.6464551
2032,66118.5593145,65244.9587189
2033,66118.5593145,65251.9475237
2034,65933.0935099,65073.4146135
2035,66025.8264122,65173.0249469
2036,66118.5593145,65272.5802609
2037,66211.2922167,65372.0809956
2038,66674.956728,65842.4591967
2039,66953.1554348,66127.3178837
