year,Base case cost,Modeled solar power
2020,268592.73728,271980.491552
2021,278595.974546,281717.305059
2022,286927.052119,289824.602733
2023,292720.957486,295431.208551
2024,297630.561897,300170.969924
2025,302982.873184,305345.535486
2026,309768.603307,311943.981857
2027,315288.436581,317292.696049
2028,320741.3167,322592.051118
2029,326830.344529,328510.729782
2030,331220.922886,332764.260307
2031,337810.01289,339184.529036
2032,343618.152757,344825.602545
2033,349734.119494,350780.5612
2034,355214.541285,356099.022986
2035,359807.741033,360564.736915
2036,367024.122755,367623.420913
2037,371544.666274,372024.342995
2038,380780.677874,381111.308696
2039,387457.910501,387662.398068
