year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7214.59509736,4689.48681328
2018,7217.20035592,4691.18023135
2019,7224.04685235,4695.63045403
2020,7226.10363543,4696.96736303
2021,7228.8975674,4698.78341881
2022,7233.50994394,4701.78146356
2023,7236.30657511,4703.59927382
2024,7239.26785688,4705.52410698
2025,7241.40183681,4706.91119393
2026,7243.56577775,4708.31775553
2027,7245.33374745,4709.46693584
2028,7249.7534018,4712.33971117
2029,7252.42101166,4714.07365758
2030,7254.80034799,4715.62022619
2031,7256.45954033,4716.69870121
