year,Base case cost,Modeled water and wastewater efficiency
2017,58584.5378205,50298.7914091
2018,63406.167778,53448.379969
2019,70067.6349195,57890.4583119
2020,73162.7228348,59842.3768897
2021,75333.2198627,61152.343306
2022,76964.3094122,62089.7284044
2023,78095.3533137,62682.050917
2024,79027.5725768,63139.9149852
2025,80138.4292564,63727.349605
2026,81466.3341504,64471.1030381
2027,82603.1330744,65085.4921226
2028,83555.450351,65574.9753555
2029,84819.7955267,66286.9743082
2030,85605.5145633,66668.1266058
2031,86960.19572,67451.3568334
