year,Base case cost,Koliganek wind diesel and heat recovery,Modeled wind power
2017,201283.858432,,
2018,223242.035992,,
2019,254067.333668,,
2020,268592.73728,,
2021,278595.974546,,
2022,286927.052119,,
2023,292720.957486,,
2024,297630.561897,,
2025,302982.873184,,
2026,309768.603307,,
2027,315288.436581,,
2028,320741.3167,,
2029,326830.344529,,
2030,331220.922886,,
2031,337810.01289,,
2032,343618.152757,,
2033,349734.119494,,
2034,355214.541285,,
2035,359807.741033,,
2036,367024.122755,,
2037,371544.666274,,
2038,380780.677874,,
