year,Base case cost,Modeled biomass for heat (cordwood)
2017,566254.814285,631843.351691
2018,608973.313191,667737.81741
2019,673212.027263,723019.092826
2020,700774.77117,745886.718999
2021,725891.434429,767453.875103
2022,740199.044195,778908.175278
2023,750141.448601,786597.979014
2024,764446.421408,798913.888357
2025,774339.467814,806614.769278
2026,786202.038173,816047.044264
2027,796351.477626,824010.961551
2028,811065.876292,836818.662467
2029,822359.724199,845828.140393
2030,829305.849058,851078.550989
2031,841517.694011,860922.623194
2032,854040.189105,871052.252517
2033,866252.129058,880932.130111
2034,879163.338199,891433.554984
2035,887344.114199,897842.875941
2036,900757.315558,908819.127006
