year,Base case diesel consumed,Modeled transmission and interties
2021,98091.5684196,-16582.0490763
2022,99474.1581341,-16582.0490763
2023,100612.761428,-16582.0490763
2024,101751.364723,-16582.0490763
2025,104109.900118,-16582.0490763
2026,105492.489832,-16582.0490763
2027,106875.079547,-16582.0490763
2028,108013.682841,-16582.0490763
2029,109477.601362,-16582.0490763
2030,111022.84869,-16582.0490763
2031,112486.767212,-16582.0490763
2032,113950.685733,-16582.0490763
2033,115414.604254,-16582.0490763
2034,117122.509196,-16582.0490763
2035,118423.770103,-16582.0490763
2036,120050.346238,-16582.0490763
2037,121514.264759,-16582.0490763
2038,123059.512087,-16582.0490763
2039,124930.074642,-16582.0490763
2040,126556.650777,-16582.0490763
