year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4304.20443737,
2018,4269.30517402,
2019,4220.91591474,
2020,4185.78159691,
2021,4146.26447869,
2022,4105.56742697,
2023,4072.92082447,
2024,4039.31735716,
2025,3970.97310515,
2026,3931.70968595,
2027,3890.89410818,
2028,3856.91641817,
2029,3815.66136178,
2030,3770.07943864,
2031,3727.9114653,
