year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,92642.54,4304.2,113827.79,88972.54
2018,93862.47,4269.31,113827.79,90053.56
2019,95489.05,4220.92,113827.79,92215.58
2020,96708.98,4185.78,113827.79,93296.6
2021,98091.57,4146.26,113827.79,94377.61
2022,99474.16,4105.57,113827.79,95458.62
2023,100612.76,4072.92,113827.79,96539.63
2024,101751.36,4039.32,113827.79,97620.65
2025,104109.9,3970.97,113827.79,100863.69
2026,105492.49,3931.71,113827.79,101944.7
2027,106875.08,3890.89,113827.79,103025.71
2028,108013.68,3856.92,113827.79,104106.73
2029,109477.6,3815.66,113827.79,106268.75
2030,111022.85,3770.08,113827.79,107349.76
2031,112486.77,3727.91,113827.79,108430.78
2032,113950.69,3684.83,113827.79,110592.8
2033,115414.6,3642.01,113827.79,111673.82
2034,117122.51,3593.22,113827.79,113835.84
2035,118423.77,3555.38,113827.79,114916.85
2036,120050.35,3507.45,113827.79,117078.88
2037,121514.26,3464.77,113827.79,118159.89
2038,123059.51,3420.68,113827.79,119240.91
2039,124930.07,3365.92,113827.79,121402.93
2040,126556.65,3319.03,113827.79,123564.96
