year,Base case diesel consumed,Modeled transmission and interties
2021,157177.318145,0.0
2022,159679.003518,0.0
2023,161894.781991,0.0
2024,164182.037189,0.0
2025,166469.292387,0.0
2026,168899.501035,0.0
2027,171258.232959,0.0
2028,174117.301956,0.0
2029,176618.987329,0.0
2030,179192.149427,0.0
2031,181693.8348,0.0
2032,184195.520173,0.0
2033,186482.775371,0.0
2034,188984.460744,0.0
2035,192057.959916,0.0
2036,194702.598739,0.0
2037,197418.714287,0.0
2038,199991.876385,0.0
2039,202993.898832,0.0
2040,205852.96783,0.0
