year,Base case cost,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,489569.820742,765928.135956,520275.5554,765928.135956
2020,526124.447411,791251.58063,524227.342359,791251.58063
2021,559551.252597,814945.270686,532871.642758,814945.270686
2022,584425.152876,830913.357766,536967.775571,830913.357766
2023,603867.536827,842273.471377,539632.587384,842273.471377
2024,622249.920948,852948.846606,542692.528073,852948.846606
2025,642571.468616,865490.451551,546601.79846,865490.451551
2026,665464.03408,880526.639544,551988.022725,880526.639544
2027,686745.514164,894316.49895,557205.597804,894316.49895
2028,708657.418962,909098.201242,564491.99982,909098.201242
2029,731202.607542,924426.734505,571305.517126,924426.734505
2030,750815.106099,937399.856637,577887.275445,937399.856637
2031,777649.612944,956835.325141,586766.322727,956835.325141
2032,803092.467954,975227.969478,595676.907607,975227.969478
2033,829848.350401,994834.893136,604779.495325,994834.893136
2034,857989.451777,1015947.69695,615413.093893,1015947.69695
2035,881546.036016,1033483.03769,626685.812366,1033483.03769
2036,913155.188087,1058074.49166,639798.558967,1058074.49166
2037,935764.70572,1074890.21183,650399.028154,1074890.21183
2038,965960.762938,1098512.99142,663637.371715,1098512.99142
