year,Base case cost,Modeled solar power
2020,526124.447411,539453.013205
2021,559551.252597,572129.321401
2022,584425.152876,596347.798858
2023,603867.536827,615227.614068
2024,622249.920948,633086.445143
2025,642571.468616,652871.306717
2026,665464.03408,675214.392653
2027,686745.514164,695984.361391
2028,708657.418962,717421.845065
2029,731202.607542,739479.218343
2030,750815.106099,758664.689138
2031,777649.612944,784985.029819
2032,803092.467954,809949.790249
2033,829848.350401,836214.766242
2034,857989.451777,863876.321295
2035,881546.036016,887059.055691
2036,913155.188087,918186.460565
2037,935764.70572,940441.607135
2038,965960.762938,970199.922699
2039,994670.104278,998527.543618
