year,Base case diesel consumed,Modeled solar power
2020,153389.051723,150721.947056
2021,157177.318145,154531.550315
2022,159679.003518,157054.401831
2023,161894.781991,159291.177117
2024,164182.037189,161599.261154
2025,166469.292387,163907.178561
2026,168899.501035,166357.884119
2027,171258.232959,168736.948978
2028,174117.301956,171616.188247
2029,176618.987329,174137.88253
2030,179192.149427,176730.893466
2031,181693.8348,179252.268887
2032,184195.520173,181773.486787
2033,186482.775371,184080.118252
2034,188984.460744,186601.024882
2035,192057.959916,189693.591542
2036,194702.598739,192357.145311
2037,197418.714287,195092.024487
2038,199991.876385,197683.800103
2039,202993.898832,200704.287161
