year,Base case diesel consumed,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,151101.796525,125036.976182,2159.96599329,125036.976182
2020,153389.051723,127324.23138,4447.2211914,127324.23138
2021,157177.318145,131112.497802,8235.48761327,131112.497802
2022,159679.003518,133614.183175,10737.1729862,133614.183175
2023,161894.781991,135829.961648,12952.9514594,135829.961648
2024,164182.037189,138117.216846,15240.2066575,138117.216846
2025,166469.292387,140404.472044,17527.4618556,140404.472044
2026,168899.501035,142834.680692,19957.6705036,142834.680692
2027,171258.232959,145193.412615,22316.4024266,145193.412615
2028,174117.301956,148052.481613,25175.4714243,148052.481613
2029,176618.987329,150554.166986,27677.1567972,150554.166986
2030,179192.149427,153127.329084,30250.3188951,153127.329084
2031,181693.8348,155629.014457,32752.004268,155629.014457
2032,184195.520173,158130.69983,35253.6896409,158130.69983
2033,186482.775371,160417.955028,37540.9448391,160417.955028
2034,188984.460744,162919.640401,40042.630212,162919.640401
2035,192057.959916,165993.139573,43116.1293845,165993.139573
2036,194702.598739,168637.778396,45760.7682073,168637.778396
2037,197418.714287,171353.893944,48476.883755,171353.893944
2038,199991.876385,173927.056042,51050.0458529,173927.056042
