year,annotation,diesel generation efficiency
2002,,12.31
2003,,12.49
2004,,12.7
2005,,11.65
2006,,10.47
2007,,10.15
2008,,18.11
2009,,14.23
2010,,14.41
2011,,13.35
2012,,14.37
2013,,14.25
2014,start of forecast,13.99
2015,,13.99
2016,,13.99
2017,,13.99
2018,,13.99
2019,,13.99
2020,,13.99
2021,,13.99
2022,,13.99
2023,,13.99
2024,,13.99
2025,,13.99
2026,,13.99
2027,,13.99
2028,,13.99
2029,,13.99
2030,,13.99
2031,,13.99
2032,,13.99
2033,,13.99
2034,,13.99
2035,,13.99
2036,,13.99
2037,,13.99
2038,,13.99
2039,,13.99
2040,,13.99
