year,Base case cost,Modeled diesel efficiency
2019,489569.820742,711180.581114
2020,526124.447411,738174.940184
2021,559551.252597,762472.007683
2022,584425.152876,779136.463434
2023,603867.536827,791002.587547
2024,622249.920948,802041.218478
2025,642571.468616,814975.6776
2026,665464.03408,830377.261776
2027,686745.514164,844441.015939
2028,708657.418962,859201.704906
2029,731202.607542,874659.025689
2030,750815.106099,887568.34995
2031,777649.612944,907158.453919
2032,803092.467954,925596.034746
2033,829848.350401,945337.252384
2034,857989.451777,966445.157899
2035,881546.036016,983490.201333
2036,913155.188087,1007958.18363
2037,935764.70572,1024344.70221
2038,965960.762938,1047725.75279
