year,Base case diesel consumed,Modeled residential ashp
2017,13611.7775617,-71553.1618087
2018,13777.9263088,-71387.0130616
2019,13944.0750559,-71220.8643145
2020,14110.223803,-71054.7155674
2021,14442.5212972,-70722.4180732
2022,14608.6700443,-70556.2693261
2023,14774.8187914,-70390.120579
2024,14940.9675385,-70223.9718319
2025,15273.2650328,-69891.6743377
2026,15439.4137799,-69725.5255906
2027,15605.562527,-69559.3768435
2028,15771.7112741,-69393.2280964
2029,15937.8600212,-69227.0793493
2030,16104.0087683,-69060.9306022
2031,16270.1575154,-68894.7818551
