year,Base case cost,Togiak (quigmy river),Togiak (kurtluk river)
2021,745912.404695,2380250.15121,1468626.70422
2022,768436.573312,2391491.99674,1482271.2667
2023,784095.662878,2399629.53758,1492010.61885
2024,797492.601067,2406758.51849,1500474.44252
2025,815340.458746,2415831.23599,1511415.93987
2026,829775.994737,2421491.6318,1518945.11553
2027,844265.444962,2428459.5333,1527514.82834
2028,858772.866597,2435445.40621,1536102.51255
2029,876471.711326,2444369.11076,1546894.99695
2030,887218.615182,2450101.6488,1553695.40919
2031,903572.599311,2456426.90129,1562156.41009
2032,920169.9463,2464249.1081,1571847.39675
2033,938504.529697,2472554.95987,1582288.99692
2034,957442.652985,2481464.35152,1593334.13698
2035,973917.944139,2490418.09395,1603889.69071
2036,998967.096021,2505438.51419,1621045.85936
2037,1011685.61344,2511889.07434,1628831.26226
2038,1033787.4539,2523962.18316,1643040.11949
2039,1050276.22361,2532929.40415,1653609.15178
2040,1077670.64464,2547787.91064,1671137.34377
2041,1087529.46127,2557646.72726,1680996.1604
2042,1092288.88998,2562406.15598,1685755.58911
2043,1095348.52272,2565465.78872,1688815.22186
2044,1098068.19628,2568185.46228,1691534.89541
2045,1105547.29854,2575664.56454,1699013.99767
2046,1111666.56403,2581783.83003,1705133.26316
2047,1120165.54388,2590282.80988,1713632.24301
2048,1128324.56453,2598441.83053,1721791.26366
2049,1138523.34035,2608640.60635,1731990.03948
2050,1149402.03455,2619519.30055,1742868.73369
