year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,45523.8,2493478.0,2493478.0
2004,,45523.8,2758309.0,2758309.0
2005,,45523.8,2703786.0,2703786.0
2006,,45523.8,2591172.0,2591172.0
2007,,45523.8,2608430.0,2608430.0
2008,,45523.8,2635299.0,2635299.0
2009,,45523.8,2671013.0,2671013.0
2010,,45523.8,2942551.0,2942551.0
2011,,45523.8,3079379.0,3079379.0
2012,,45523.8,3070923.0,3070923.0
2013,,45523.8,3045999.0,3045999.0
2014,start of forecast,45523.8,3025000.0,3025000.0
2015,,45523.8,3031000.0,3031000.0
2016,,45523.8,3037000.0,3037000.0
2017,,45523.8,3054000.0,3054000.0
2018,,45523.8,3057000.0,3057000.0
2019,,45523.8,3071000.0,3071000.0
2020,,45523.8,3078000.0,3078000.0
2021,,45523.8,3084000.0,3084000.0
2022,,45523.8,3091000.0,3091000.0
2023,,45523.8,3098000.0,3098000.0
2024,,45523.8,3105000.0,3105000.0
2025,,45523.8,3111000.0,3111000.0
2026,,45523.8,3104000.0,3104000.0
2027,,45523.8,3106000.0,3106000.0
2028,,45523.8,3108000.0,3108000.0
2029,,45523.8,3113000.0,3113000.0
2030,,45523.8,3118000.0,3118000.0
2031,,45523.8,3110000.0,3110000.0
2032,,45523.8,3111000.0,3111000.0
2033,,45523.8,3110000.0,3110000.0
2034,,45523.8,3111000.0,3111000.0
2035,,45523.8,3119000.0,3119000.0
2036,,45523.8,3139000.0,3139000.0
2037,,45523.8,3142000.0,3142000.0
2038,,45523.8,3152000.0,3152000.0
2039,,45523.8,3159000.0,3159000.0
2040,,45523.8,3170000.0,3170000.0
