year,Base case cost,Modeled residential energy efficiency
2017,1247993.73545,1311230.32002
2018,1319720.38557,1378218.77342
2019,1416568.85007,1468574.15353
2020,1467548.61659,1516395.12224
2021,1497070.72554,1543811.36599
2022,1526369.8699,1571531.11143
2023,1548430.32072,1592538.62965
2024,1568136.97107,1611367.83617
2025,1585606.41028,1627608.85401
2026,1595622.79996,1636396.82232
2027,1618049.65453,1657770.74428
2028,1633023.45956,1671691.61671
2029,1650492.89877,1687932.63455
2030,1668200.33293,1704938.11364
2031,1680440.50885,1715774.37942
2032,1697909.94806,1732015.39725
2033,1717875.02144,1750576.5605
2034,1737840.09482,1769137.72374
2035,1760976.11792,1791220.81424
2036,1797549.29484,1826390.08102
