year,Base case cost,Togiak waste heat recovery project
2019,862834.351412,843731.984716
2020,899765.017108,878196.650413
2021,924385.460906,901173.09421
2022,942850.793754,918405.427058
2023,955161.015653,929893.648957
2024,965419.533902,939467.167206
2025,979781.45945,952870.092755
2026,994143.384999,966273.018303
2027,1006453.6069,977761.240202
2028,1018763.8288,989249.462101
2029,1033125.75434,1002652.38765
2030,1041332.56894,1010311.20225
2031,1057746.19814,1025628.83145
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
