year,Base case diesel consumed,Modeled residential ashp
2017,23240.6079807,13035.2959669
2018,23240.6079807,13035.2959669
2019,24375.3482008,14170.036187
2020,24375.3482008,14170.036187
2021,24375.3482008,14170.036187
2022,24375.3482008,14170.036187
2023,24375.3482008,14170.036187
2024,25510.0884208,15304.776407
2025,25510.0884208,15304.776407
2026,25510.0884208,15304.776407
2027,25510.0884208,15304.776407
2028,26644.8286409,16439.5166271
2029,26644.8286409,16439.5166271
2030,26644.8286409,16439.5166271
2031,26644.8286409,16439.5166271
