year,Base case cost,Modeled biomass for heat (cordwood)
2017,200007.723777,211491.907287
2018,212176.623777,220489.785399
2019,228401.823777,232486.956215
2020,235703.163777,237885.683082
2021,240976.353777,241784.763598
2022,244627.023777,244484.127031
2023,247060.803777,246283.702654
2024,249088.953777,247783.349006
2025,251928.363777,249882.853899
2026,254767.773777,251982.358792
2027,257201.553777,253781.934414
2028,259635.333777,255581.510036
2029,262474.743777,257681.014929
2030,264097.263777,258880.732011
2031,266936.673777,260980.236904
2032,,
2033,,
2034,,
2035,,
2036,,
