year,annotation,line losses
2003,,-inf
2004,,-0.714
2005,,0.452
2006,,-0.613
2007,,-inf
2008,,-inf
2009,,-1.948
2010,,0.216
2011,,0.067
2012,,0.175
2013,,0.087
2016,start of forecast,0.1099
2017,,0.1099
2018,,0.1099
2019,,0.1099
2020,,0.1099
2021,,0.1099
2022,,0.1099
2023,,0.1099
2024,,0.1099
2025,,0.1099
2026,,0.1099
2027,,0.1099
2028,,0.1099
2029,,0.1099
2030,,0.1099
2031,,0.1099
2032,,0.1099
2033,,0.1099
2034,,0.1099
2035,,0.1099
2036,,0.1099
2037,,0.1099
2038,,0.1099
2039,,0.1099
2040,,0.1099
