year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,2231.09,0.0,0.0,0.0
2004,,2231.09,328840.0,0.0,328840.0
2005,,2231.09,439419.0,0.0,439419.0
2006,,2231.09,188803.0,0.0,188803.0
2007,,2231.09,0.0,0.0,0.0
2008,,2231.09,0.0,0.0,0.0
2009,,2231.09,81439.0,0.0,81439.0
2010,,2231.09,360561.0,0.0,360561.0
2011,,2231.09,318030.0,0.0,318030.0
2012,,2231.09,333563.0,0.0,333563.0
2013,,2231.09,296851.0,0.0,296851.0
2014,start of forecast,2231.09,322000.0,2772.0,319228.0
2015,,2231.09,321000.0,2772.0,318228.0
2016,,2231.09,319000.0,2772.0,316228.0
2017,,2231.09,317000.0,2772.0,314228.0
2018,,2231.09,315000.0,2772.0,312228.0
2019,,2231.09,313000.0,2772.0,310228.0
2020,,2231.09,311000.0,2772.0,308228.0
2021,,2231.09,310000.0,2772.0,307228.0
2022,,2231.09,308000.0,2772.0,305228.0
2023,,2231.09,307000.0,2772.0,304228.0
2024,,2231.09,306000.0,2772.0,303228.0
2025,,2231.09,304000.0,2772.0,301228.0
2026,,2231.09,303000.0,2772.0,300228.0
2027,,2231.09,301000.0,2772.0,298228.0
2028,,2231.09,300000.0,2772.0,297228.0
2029,,2231.09,299000.0,2772.0,296228.0
2030,,2231.09,297000.0,2772.0,294228.0
2031,,2231.09,296000.0,2772.0,293228.0
2032,,2231.09,295000.0,2772.0,292228.0
2033,,2231.09,294000.0,2772.0,291228.0
2034,,2231.09,293000.0,2772.0,290228.0
2035,,2231.09,292000.0,2772.0,289228.0
2036,,2231.09,292000.0,2772.0,289228.0
2037,,2231.09,291000.0,2772.0,288228.0
2038,,2231.09,290000.0,2772.0,287228.0
2039,,2231.09,289000.0,2772.0,286228.0
2040,,2231.09,289000.0,2772.0,286228.0
