year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13', 134.52') -- south funter bay creek","Greens creek (hawk inlet; 58.04', 134.43')",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2021,0.0,2993143.74716,901786.297132,5140915.54212,6657424.17048,22970248.6192,5070519.05036,2384288.01275,12239148.7804,3563254.77755,2124828.01534,293633.855127,3658822.23545,469295.390057,723150.320283,128406.069665,25425838.9613,12470873.1314,796947.312257,6267606.47476,7905066.41159
2022,0.0,2930487.20703,883400.71168,5033538.28525,6515160.47282,22489521.2382,4964504.82514,2335379.70787,11937935.0184,3488775.85087,2080355.59661,287699.605551,3583012.1639,460074.667757,709023.141728,125723.900115,24884718.5658,12209815.0405,781077.735908,6136405.56273,7740701.1803
2023,0.0,2869785.05195,865541.609075,4929487.47015,6377611.54627,22023777.5434,4861785.09564,2287901.11694,11650417.8088,3416609.37516,2037269.65979,281930.150693,3509492.0936,451083.913875,695240.02404,123124.838596,24361324.6887,11956899.9669,765625.450828,6009296.96739,7581356.34541
2024,0.0,2811004.37509,848199.187096,4828706.63179,6244703.5375,21572765.0251,4762304.14557,2241826.25544,11376452.3376,3346716.20126,1995546.84608,276322.310744,3438221.97726,442318.106403,681793.24719,120607.474726,23855375.7751,11711990.8049,750581.880637,5886211.78252,7426945.25203
2025,0.0,2753287.48848,831201.487861,4729764.70788,6114018.75555,21129922.1008,4664631.64381,2196648.17582,11104620.4076,3278094.9531,1954579.57782,270829.294976,3368290.7166,433748.795242,668653.260003,118136.033161,23358026.5223,11471513.8601,735861.598537,5765354.21648,7275398.56498
2026,0.0,2696327.82524,814485.034678,4632149.20841,5984704.91149,20692902.959,4568255.81441,2152181.57304,10831024.9863,3210387.24662,1914150.65597,265433.509041,3299369.45595,425363.342384,655805.362647,115697.702835,22866151.6336,11234191.7765,721430.741563,5646082.38771,7125972.07245
2027,0.0,2640920.29141,798203.084054,4537183.46769,5859038.79362,20267787.426,4474500.689,2108883.81961,10566807.9841,3144519.76634,1874823.09256,260175.677004,3232292.88856,417180.616583,643264.377479,113325.568262,22388059.2407,11003336.6679,707358.37388,5530060.62365,6980569.78326
2028,0.0,2587310.1438,782400.849756,4445274.77344,5737735.0917,19856450.8521,4383774.23624,2066891.80777,10315596.6247,3080777.95598,1836770.56586,255067.468781,3167315.25634,409203.899136,631030.620825,111029.812767,21926350.0633,10779970.4432,693662.379446,5417802.42386,6839774.45892
2029,0.0,2534367.417,766853.111288,4354538.41082,5617600.78222,19450248.9626,4294192.40635,2025540.3612,10062226.5769,3017842.84942,1799192.63943,250047.812708,3103238.33528,401397.334952,619067.886076,108763.319582,21469346.8873,10559384.9185,680232.405228,5306941.91654,6700862.84827
2030,0.0,2483439.49193,751822.009602,4267218.60934,5502481.09379,19059487.7429,4208000.07823,1985609.56391,9825366.87327,2957285.73378,1763043.66491,245186.760045,3041480.70876,393795.811477,607406.164528,106582.195521,21031089.4329,10347194.1861,667189.432047,5200300.17395,6567067.6484
