year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,19246392.0,17070508.0134
2018,19312594.0,17136710.0134
2019,19361148.0,17185264.0134
2020,19405283.0,17229399.0134
2021,19450522.0,17274638.0134
2022,19480314.0,17304430.0134
2023,19496865.0,17320981.0134
2024,19515619.0,17339735.0134
2025,19522244.0,17346360.0134
2026,19532173.0,17356289.0134
2027,19549829.0,17373945.0134
2028,19564172.0,17388288.0134
2029,19521138.0,17345254.0134
2030,19488038.0,17312154.0134
2031,19468173.0,17292289.0134
2032,19481420.0,17305536.0134
2033,19507901.0,17332017.0134
2034,19532174.0,17356290.0134
2035,19529966.0,17354082.0134
2036,19518930.0,17343046.0134
