year,Base case diesel consumed,Modeled non-residential ashp
2017,19246392.0,16741395.8038
2018,19312594.0,16807597.8038
2019,19361148.0,16856151.8038
2020,19405283.0,16900286.8038
2021,19450522.0,16945525.8038
2022,19480314.0,16975317.8038
2023,19496865.0,16991868.8038
2024,19515619.0,17010622.8038
2025,19522244.0,17017247.8038
2026,19532173.0,17027176.8038
2027,19549829.0,17044832.8038
2028,19564172.0,17059175.8038
2029,19521138.0,17016141.8038
2030,19488038.0,16983041.8038
2031,19468173.0,16963176.8038
