year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,19246392.0,16852919.6147
2018,19312594.0,16919121.6147
2019,19361148.0,16967675.6147
2020,19405283.0,17011810.6147
2021,19450522.0,17057049.6147
2022,19480314.0,17086841.6147
2023,19496865.0,17103392.6147
2024,19515619.0,17122146.6147
2025,19522244.0,17128771.6147
2026,19532173.0,17138700.6147
2027,19549829.0,17156356.6147
2028,19564172.0,17170699.6147
2029,19521138.0,17127665.6147
2030,19488038.0,17094565.6147
2031,19468173.0,17074700.6147
2032,19481420.0,17087947.6147
2033,19507901.0,17114428.6147
2034,19532174.0,17138701.6147
2035,19529966.0,17136493.6147
2036,19518930.0,17125457.6147
