year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,8349987.3208,6178990.61739
2018,8349987.3208,6178990.61739
2019,8349987.3208,6178990.61739
2020,8349987.3208,6178990.61739
2021,8349987.3208,6178990.61739
2022,8349987.3208,6178990.61739
2023,8349987.3208,6178990.61739
2024,8349987.3208,6178990.61739
2025,8349987.3208,6178990.61739
2026,8349987.3208,6178990.61739
2027,8349987.3208,6178990.61739
2028,8349987.3208,6178990.61739
2029,8349987.3208,6178990.61739
2030,8349987.3208,6178990.61739
2031,8349987.3208,6178990.61739
