year,Base case cost,Modeled biomass for heat (cordwood)
2017,49873622.4523,55297357.2163
2018,55838951.432,60486461.1879
2019,64111018.8995,67724091.1587
2020,68332273.5798,71370669.7497
2021,71214647.8008,73833439.3027
2022,73271757.3421,75560674.4006
2023,74893760.2027,76898952.2016
2024,76136737.5183,77904292.1604
2025,77529140.8647,79039809.0993
2026,79326467.7029,80539182.8162
2027,80962160.7456,81901075.0977
2028,82195410.0645,82906378.7587
2029,83576301.3612,84018089.3565
2030,84408991.4627,84649104.4196
2031,86269767.0269,86201587.6404
2032,88081796.5656,87729209.549
2033,89957236.8157,89322318.218
2034,92022384.8642,91085403.2367
2035,93379079.8826,92207291.6186
2036,95278206.1995,93808268.2504
