year,Base case cost,Modeled biomass for heat (pellet)
2017,49873622.4523,54127276.2097
2018,55838951.432,59313432.0019
2019,64111018.8995,66520542.3646
2020,68332273.5798,70180868.3292
2021,71214647.8008,72671223.2965
2022,73271757.3421,74433386.8495
2023,74893760.2027,75809616.2652
2024,76136737.5183,76855962.1377
2025,77529140.8647,78029042.0463
2026,79326467.7029,79560389.6016
2027,80962160.7456,80955223.2436
2028,82195410.0645,81996639.9913
2029,83576301.3612,83138959.524
2030,84408991.4627,83805985.7984
2031,86269767.0269,85382501.8117
2032,88081796.5656,86935259.1554
2033,89957236.8157,88552455.1721
2034,92022384.8642,90336428.1317
2035,93379079.8826,91484732.5728
2036,95278206.1995,93104621.5044
