year,Base case diesel consumed,Point hope wind turbine design,Modeled wind power
2017,386800.846129,279121.844097,
2018,379996.676445,272317.674413,
2019,373386.911609,265707.909577,251775.492587
2020,366841.948389,259162.946357,245230.529367
2021,360296.985169,252617.983137,238685.566147
2022,354011.228414,246332.226382,232399.809391
2023,347919.876506,240240.874474,226308.457484
2024,341763.722982,234084.720951,220152.30396
2025,335737.172691,228058.170659,214125.753669
2026,329710.622399,222031.620368,208099.203377
2027,323424.865644,215745.863612,201813.446622
2028,317074.307272,209395.30524,195462.88825
2029,311630.971525,203951.969493,190019.552503
2030,305993.23093,198314.228898,184381.811908
2031,300096.28387,192417.281838,178484.864848
2032,293162.510954,185483.508922,171551.091932
2033,286163.936422,178484.93439,164552.5174
2034,279165.36189,171486.359858,157553.942868
2035,272296.39059,164617.388558,150684.971568
2036,265621.824138,157942.822106,144010.405116
2037,259141.662534,,137530.243512
2038,252531.897699,,130920.478677
