year,Base case diesel consumed,Modeled solar power
2020,366841.948389,361222.482515
2021,360296.985169,354722.475022
2022,354011.228414,348481.314348
2023,347919.876506,342434.201753
2024,341763.722982,336321.933627
2025,335737.172691,330338.917651
2026,329710.622399,324355.5534
2027,323424.865644,318112.637196
2028,317074.307272,311804.576652
2029,311630.971525,306403.39875
2030,305993.23093,300807.478736
2031,300096.28387,294952.017695
2032,293162.510954,288059.398908
2033,286163.936422,281101.649272
2034,279165.36189,274143.573037
2035,272296.39059,267314.776048
2036,265621.824138,260680.062513
2037,259141.662534,254239.435002
2038,252531.897699,247668.887986
2039,245533.323167,240709.217532
