year,Base case cost,Modeled solar power
2020,1276609.98039,1318342.88837
2021,1304275.08631,1344102.5349
2022,1316921.7697,1355106.43953
2023,1318616.33196,1355359.88771
2024,1315790.33348,1351180.86451
2025,1316089.71695,1350105.30057
2026,1318842.4896,1351461.78484
2027,1316339.20317,1347647.69072
2028,1309516.88903,1339598.0721
2029,1311966.39012,1340745.00323
2030,1303531.16376,1331193.08677
2031,1302417.872,1328835.93814
2032,1298709.92353,1323862.11968
2033,1293460.99263,1317376.52509
2034,1286952.31831,1309659.76926
2035,1271624.14406,1293300.9337
2036,1264359.8829,1284882.74197
2037,1249062.81342,1268605.60909
2038,1239931.6177,1258372.33573
2039,1222755.94937,1240216.75165
