year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11208.9336965,7285.80690276
2018,11219.7326685,7292.82623454
2019,11230.1446523,7299.594024
2020,11240.4147849,7306.26961019
2021,11250.6921235,7312.94988028
2022,11260.6417231,7319.41712004
2023,11270.2062028,7325.63403182
2024,11279.9350857,7331.95780572
2025,11289.3489069,7338.07678948
2026,11298.8971064,7344.28311914
2027,11308.7683743,7350.69944327
2028,11318.7984407,7357.21898648
2029,11327.3931814,7362.80556791
2030,11336.204502,7368.5329263
2031,11345.5454626,7374.60455071
