year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,6446833
2004,,0,0,0,0,0,6563733
2005,,0,0,0,0,0,5877207
2006,,0,0,0,0,0,6392826
2007,,0,0,0,0,0,0
2008,,0,0,0,0,0,0
2009,,0,0,0,0,0,6264956
2010,,0,0,0,0,0,6561464
2011,,0,0,0,0,0,6464915
2012,,0,0,0,0,0,6680590
2013,,0,0,0,0,0,6761550
2014,start of forecast,0,0,0,0,0,6298000
2015,,0,0,0,0,0,6189000
2016,,0,0,0,0,0,6078000
2017,,0,0,0,0,0,5969000
2018,,0,0,0,0,0,5864000
2019,,0,0,0,0,0,5762000
2020,,0,0,0,0,0,5661000
2021,,0,0,0,0,0,5560000
2022,,0,0,0,0,0,5463000
2023,,0,0,0,0,0,5369000
2024,,0,0,0,0,0,5274000
2025,,0,0,0,0,0,5181000
2026,,0,0,0,0,0,5088000
2027,,0,0,0,0,0,4991000
2028,,0,0,0,0,0,4893000
2029,,0,0,0,0,0,4809000
2030,,0,0,0,0,0,4722000
2031,,0,0,0,0,0,4631000
2032,,0,0,0,0,0,4524000
2033,,0,0,0,0,0,4416000
2034,,0,0,0,0,0,4308000
2035,,0,0,0,0,0,4202000
2036,,0,0,0,0,0,4099000
2037,,0,0,0,0,0,3999000
2038,,0,0,0,0,0,3897000
2039,,0,0,0,0,0,3789000
2040,,0,0,0,0,0,3675000
