year,Base case cost,Point hope wind turbine design,Modeled wind power
2017,994078.17455,966830.453854,
2018,1090590.4614,1023648.13602,
2019,1228442.93919,1108259.71328,1467680.56706
2020,1276609.98039,1129522.96574,1477733.48801
2021,1304275.08631,1136105.41862,1474039.9523
2022,1316921.7697,1132348.08776,1460788.90405
2023,1318616.33196,1121174.84526,1440752.25189
2024,1315790.33348,1106735.27588,1417780.27018
2025,1316089.71695,1094393.4112,1396937.78345
2026,1318842.4896,1083474.63496,1377545.9744
2027,1316339.20317,1068546.16158,1354462.86013
2028,1309516.88903,1050542.52054,1328618.96387
2029,1311966.39012,1039633.27434,1309737.57754
2030,1303531.16376,1021357.55612,1284091.27686
2031,1302417.872,1007082.02362,1262158.27232
2032,1298709.92353,989167.03475,1236590.18339
2033,1293460.99263,969803.653998,1209721.96884
2034,1286952.31831,949270.950274,1181829.22257
2035,1271624.14406,923425.884856,1149207.87024
2036,1264359.8829,902312.127125,1121013.55133
2037,1249062.81342,,1088866.6771
2038,1239931.6177,,1059238.40537
