year,Base case diesel consumed,Modeled solar power
2020,130476.550165,128207.844466
2021,131587.303998,129336.747943
2022,132624.007574,130391.455969
2023,133734.761407,131520.070214
2024,134919.565494,132722.591831
2025,136030.319327,133850.921453
2026,137215.123414,135053.160723
2027,138473.977758,136329.310768
2028,139658.781845,137531.272192
2029,140917.636189,138807.146612
2030,142176.490532,140082.884872
2031,143509.395131,141432.538316
2032,144842.299729,142782.057769
2033,146175.204328,144131.444304
2034,147582.159182,145554.749238
2035,148915.063781,146903.873117
2036,150396.068891,148400.967752
2037,151803.023745,149823.883415
2038,153284.028855,151320.721647
2039,154839.08422,152891.48347
