year,Base case cost,Modeled solar power
2020,484068.001113,494083.278724
2021,507926.993431,517278.313476
2022,525191.069994,534004.296482
2023,540288.436083,548620.031846
2024,553170.218527,561075.329248
2025,567246.431592,574713.526366
2026,584536.425746,591532.650694
2027,600977.063468,607534.716939
2028,614498.64012,620670.552013
2029,632720.186487,638452.421266
2030,645481.267015,650867.754331
2031,664448.499455,669414.796243
2032,683655.654723,688211.527791
2033,703102.732819,707257.743803
2034,724628.401586,728371.637282
2035,740107.866992,743529.263902
2036,762508.069277,765535.829006
2037,778749.511812,781471.906065
2038,801675.470911,804021.619008
2039,822195.537208,824213.13067
