year,Base case diesel consumed,Modeled residential energy efficiency
2017,136248.703705,95713.9576836
2018,140028.006933,99493.2609112
2019,143807.310161,103272.564139
2020,147586.613388,107051.867366
2021,152625.684358,112090.938337
2022,156404.987586,115870.241564
2023,161444.058556,120909.312534
2024,166483.129526,125948.383504
2025,170262.432754,129727.686732
2026,175301.503724,134766.757702
2027,180340.574694,139805.828672
2028,185379.645664,144844.899643
2029,190418.716634,149883.970613
2030,195457.787605,154923.041583
2031,201756.626317,161221.880296
2032,206795.697287,166260.951266
2033,211834.768258,171300.022236
2034,218133.60697,177598.860949
2035,223172.67794,182637.931919
2036,229471.516653,188936.770631
