year,Base case cost,Modeled wind power,Marshall wind energy final design and permitting project
2019,453039.46306,665242.750508,628665.900587
2020,484068.001113,683100.593752,641967.03136
2021,507926.993431,695864.472114,651347.708472
2022,525191.069994,703784.683762,656864.288391
2023,540288.436083,710323.589908,661397.851402
2024,553170.218527,715428.946822,664895.897293
2025,567246.431592,721545.084676,669221.487481
2026,584536.425746,730367.341973,675876.043109
2027,600977.063468,738791.834688,682336.459574
2028,614498.64012,745066.590305,687044.203868
2029,632720.186487,755203.658203,695042.733741
2030,645481.267015,761285.262184,699769.759894
2031,664448.499455,772408.784674,708773.065387
2032,683655.654723,783888.398707,718141.302161
2033,703102.732819,795721.381604,727871.540355
2034,724628.401586,809422.944769,739285.116283
2035,740107.866992,818469.685249,746826.793229
2036,762508.069277,833259.627293,759345.020376
2037,778749.511812,843277.178306,767873.398814
2038,801675.470911,858796.816022,781136.840146
