year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,1022739.0,516894.0,505845.0
2004,,1064752.0,504626.0,560126.0
2005,,1079523.0,492101.0,587422.0
2006,,1161928.0,508205.0,653723.0
2007,,1149318.0,509913.0,639405.0
2008,,1209081.0,539119.0,669962.0
2009,,1254714.0,559070.0,695644.0
2010,,1463676.0,569870.0,893806.0
2011,,1594247.0,569064.0,1025183.0
2012,,1576449.0,601396.0,975053.0
2013,,1537936.0,581581.0,956355.0
2014,start of forecast,1597306.0,611775.0,985530.0
2015,,1609516.0,623986.0,985530.0
2016,,1621872.0,636342.0,985530.0
2017,,1634405.0,648874.0,985530.0
2018,,1647158.0,661628.0,985530.0
2019,,1660159.0,674629.0,985530.0
2020,,1673395.0,687865.0,985530.0
2021,,1686909.0,701378.0,985530.0
2022,,1700757.0,715227.0,985530.0
2023,,1714999.0,729469.0,985530.0
2024,,1729605.0,744074.0,985530.0
2025,,1744516.0,758986.0,985530.0
2026,,1759679.0,774149.0,985530.0
2027,,1775095.0,789565.0,985530.0
2028,,1790803.0,805273.0,985530.0
2029,,1807001.0,821470.0,985530.0
2030,,1823469.0,837939.0,985530.0
2031,,1840249.0,854719.0,985530.0
2032,,1857181.0,871651.0,985530.0
2033,,1874393.0,888863.0,985530.0
2034,,1891971.0,906441.0,985530.0
2035,,1909854.0,924324.0,985530.0
2036,,1928122.0,942592.0,985530.0
2037,,1946784.0,961254.0,985530.0
2038,,1965739.0,980209.0,985530.0
2039,,1984942.0,999412.0,985530.0
2040,,2004408.0,1018878.0,985530.0
