year,Base case cost,Modeled biomass for heat (cordwood)
2017,1150766.51947,1227294.89863
2018,1247765.93695,1315066.9537
2019,1373782.25442,1429279.23587
2020,1446846.60221,1496027.71509
2021,1514219.90147,1558539.75799
2022,1562602.6591,1603277.91482
2023,1614464.62851,1651999.55198
2024,1661860.41792,1696758.57876
2025,1704531.66586,1736584.27982
2026,1761308.78558,1790069.17811
2027,1816219.85529,1841952.37221
2028,1866285.40501,1889490.98024
2029,1925593.02473,1945585.85256
2030,1974102.9246,1991857.15949
2031,2043649.80625,2058241.22048
2032,2105608.51612,2117061.19891
2033,2168485.39614,2176822.87213
2034,2244383.49795,2249391.51663
2035,2299632.68812,2302282.57941
2036,2377681.42992,2377046.20776
