year,Base case cost,Modeled diesel efficiency
2019,128536.556862,288763.6242
2020,136172.391923,291676.100042
2021,141581.108424,292658.356843
2022,146093.715945,292918.190012
2023,148645.571245,291485.580639
2024,150878.444633,289850.936396
2025,153749.281846,288882.146675
2026,156939.100971,288287.214931
2027,159809.938184,287484.208233
2028,162042.811572,286181.223281
2029,165232.630697,285826.303157
2030,167146.522173,284387.732149
2031,170336.341298,284183.590791
2032,173845.142336,284342.182472
2033,177353.943374,284571.818523
2034,180862.744412,284870.83389
2035,183567.513722,284506.664519
2036,187405.162093,285238.550447
2037,189323.986278,284290.665263
2038,193161.634648,285150.265803
