year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,51398.0,38004.4455277
2018,51398.0,38004.4455277
2019,51398.0,38004.4455277
2020,51398.0,38004.4455277
2021,51398.0,38004.4455277
2022,51398.0,38004.4455277
2023,51398.0,38004.4455277
2024,51398.0,38004.4455277
2025,51398.0,38004.4455277
2026,51398.0,38004.4455277
2027,51398.0,38004.4455277
2028,51398.0,38004.4455277
2029,51398.0,38004.4455277
2030,51398.0,38004.4455277
2031,51398.0,38004.4455277
2032,,
2033,,
2034,,
2035,,
2036,,
