year,Base case cost,Modeled biomass for heat (cordwood)
2017,242125.297203,279459.701702
2018,261142.557203,292787.879149
2019,287355.537203,311453.869612
2020,299691.057203,319875.447518
2021,308428.717203,325653.108513
2022,315110.457203,329926.601718
2023,319222.297203,332315.507446
2024,322820.157203,334339.637076
2025,327445.977203,337138.766121
2026,332585.777203,340332.500659
2027,337211.597203,343160.410511
2028,340809.457203,345242.117944
2029,345949.257203,348477.519765
2030,349033.137203,350205.986957
2031,354172.937203,353467.564768
2032,,
2033,,
2034,,
2035,,
2036,,
