year,Base case diesel consumed,Modeled transmission and interties
2021,31815.9794212,0.0
2022,31898.1912543,0.0
2023,31898.1912543,0.0
2024,31898.1912543,0.0
2025,31898.1912543,0.0
2026,31898.1912543,0.0
2027,31898.1912543,0.0
2028,31898.1912543,0.0
2029,31898.1912543,0.0
2030,31898.1912543,0.0
2031,31898.1912543,0.0
2032,31898.1912543,0.0
2033,31898.1912543,0.0
2034,31898.1912543,0.0
2035,31980.4030875,0.0
2036,31980.4030875,0.0
2037,31980.4030875,0.0
2038,31980.4030875,0.0
2039,31980.4030875,0.0
2040,31980.4030875,0.0
