year,Base case cost,Modeled transmission and interties
2021,141581.108424,2125074.74574
2022,146093.715945,2099337.62583
2023,148645.571245,2072483.52149
2024,150878.444633,2045975.81459
2025,153749.281846,2020843.1301
2026,156939.100971,1996721.26514
2027,159809.938184,1972581.68336
2028,162042.811572,1948693.72687
2029,165232.630697,1926467.69457
2030,167146.522173,1903134.60481
2031,170336.341298,1882415.96622
2032,173845.142336,1861987.46393
2033,177353.943374,1842436.53957
2034,180862.744412,1823433.63685
2035,183567.513722,1804089.30664
2036,187405.162093,1786186.07012
2037,189323.986278,1767015.23789
2038,193161.634648,1750120.80863
2039,196039.870926,1732982.73991
2040,199877.519297,1717367.60405
