year,Base case diesel consumed,Modeled diesel efficiency
2019,31815.9794212,28923.6176556
2020,31815.9794212,28923.6176556
2021,31815.9794212,28923.6176556
2022,31898.1912543,28998.3556858
2023,31898.1912543,28998.3556858
2024,31898.1912543,28998.3556858
2025,31898.1912543,28998.3556858
2026,31898.1912543,28998.3556858
2027,31898.1912543,28998.3556858
2028,31898.1912543,28998.3556858
2029,31898.1912543,28998.3556858
2030,31898.1912543,28998.3556858
2031,31898.1912543,28998.3556858
2032,31898.1912543,28998.3556858
2033,31898.1912543,28998.3556858
2034,31898.1912543,28998.3556858
2035,31980.4030875,29073.0937159
2036,31980.4030875,29073.0937159
2037,31980.4030875,29073.0937159
2038,31980.4030875,29073.0937159
