year,Base case cost,Modeled biomass for heat (cordwood)
2017,85849.5600714,103354.121331
2018,95246.2100714,111274.09182
2019,110687.09396,124756.521597
2020,116925.74396,129926.671631
2021,121500.75396,133636.987761
2022,124828.03396,136254.199591
2023,127323.49396,138145.041021
2024,129403.04396,139676.250144
2025,131482.59396,141214.569152
2026,134393.96396,143493.657058
2027,136889.42396,145412.612648
2028,138968.97396,146971.277008
2029,138961.060071,146399.946705
2030,138062.446183,145042.225597
2031,140870.776183,147250.623695
2032,144080.296183,149817.236923
2033,146888.626183,152037.538483
2034,152851.760071,157369.390077
2035,154485.960071,158573.905184
2036,154912.426183,158380.174963
