year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,40855.0,35955.2826077
2018,40855.0,35955.2826077
2019,41591.0,36691.2826077
2020,41591.0,36691.2826077
2021,41591.0,36691.2826077
2022,41591.0,36691.2826077
2023,41591.0,36691.2826077
2024,41591.0,36691.2826077
2025,41591.0,36691.2826077
2026,41591.0,36691.2826077
2027,41591.0,36691.2826077
2028,41591.0,36691.2826077
2029,40855.0,35955.2826077
2030,40119.0,35219.2826077
2031,40119.0,35219.2826077
2032,40119.0,35219.2826077
2033,40119.0,35219.2826077
2034,40855.0,35955.2826077
2035,40855.0,35955.2826077
2036,40119.0,35219.2826077
