year,Base case cost,Lake redfield
2021,1359624.37091,2883783.74881
2022,1405109.62744,2869566.14312
2023,1433201.38953,2845735.60484
2024,1458105.61958,2821359.92333
2025,1485138.8982,2798323.26553
2026,1519592.97154,2780190.70321
2027,1549128.4863,2759717.61072
2028,1570778.73545,2735622.0489
2029,1600733.07943,2717252.50324
2030,1618435.99739,2692560.06792
2031,1656496.43199,2680492.83261
2032,1688544.92209,2664894.08323
2033,1719230.87481,2648689.83154
2034,1754612.5475,2636215.36854
2035,1773453.8218,2614743.3743
2036,1810078.55815,2604938.98519
2037,1830337.40829,2586278.13192
2038,1870990.69112,2580157.96721
2039,1894429.01889,2564300.37329
2040,1934982.96402,2559378.73132
2041,1930210.72718,2528514.59291
2042,1925438.49034,2498261.98282
2043,1920666.2535,2468606.57034
2044,1917802.9114,2441443.2518
2045,1912712.52544,2412622.42053
2046,1909531.03421,2386266.66531
2047,1905713.24474,2359817.75954
2048,1902213.60439,2334217.4191
2049,1899350.26229,2309771.36173
2050,1895850.62194,2285194.85162
