year,Base case diesel consumed,Modeled solar power (pv)
2016,432588.838724,426147.190918
2017,431179.317294,424789.202671
2018,430239.636341,423900.642635
2019,429434.195524,423145.913768
2020,428628.754707,422390.779205
2021,427554.833618,421366.76192
2022,427084.993142,420946.426017
2023,426548.032597,420458.57401
2024,426346.672393,420305.929474
2025,425541.231576,419548.814601
2026,424467.310487,418522.832847
2027,423259.149262,417362.227443
2028,422252.348241,416402.601797
2029,421245.547219,415442.598747
2030,420372.986335,414616.46145
2031,419366.185313,413655.712628
2032,417956.663884,412291.87498
2033,416278.662182,410659.191589
2034,414802.020685,409227.505857
2035,413392.499255,407862.580546
