year,Base case diesel consumed,Modeled residential ashp
2017,40612.9773197,-199184.527233
2018,39554.1710941,-200243.333459
2019,38495.3648685,-201302.139684
2020,37436.5586429,-202360.94591
2021,35954.229927,-203843.274626
2022,35530.7074368,-204266.797116
2023,34683.6624563,-205113.842097
2024,34471.9012112,-205325.603342
2025,33413.0949856,-206384.409567
2026,31930.7662698,-207866.738283
2027,30448.4375539,-209349.066999
2028,29177.8700832,-210619.63447
2029,27907.3026125,-211890.20194
2030,26848.4963869,-212949.008166
2031,25366.167671,-214431.336882
