year,Base case diesel consumed,Modeled wind power
2019,429434.195524,355934.884022
2020,428628.754707,355129.443205
2021,427554.833618,354055.522116
2022,427084.993142,353585.681639
2023,426548.032597,353048.721094
2024,426346.672393,352847.36089
2025,425541.231576,352041.920073
2026,424467.310487,350967.998984
2027,423259.149262,349759.837759
2028,422252.348241,348753.036738
2029,421245.547219,347746.235717
2030,420372.986335,346873.674832
2031,419366.185313,345866.873811
2032,417956.663884,344457.352381
2033,416278.662182,342779.350679
2034,414802.020685,341302.709182
2035,413392.499255,339893.187752
2036,412318.578166,338819.266663
2037,411311.777145,337812.465642
2038,410304.976124,336805.664621
