year,Base case diesel consumed,Modeled diesel efficiency
2019,51442.6012951,46766.0011774
2020,51122.5851129,46475.0773754
2021,50882.5729762,46256.8845238
2022,50642.5608395,46038.6916723
2023,50402.5487029,45820.4988208
2024,50162.5365662,45602.3059693
2025,49922.5244295,45384.1131177
2026,49522.5042017,45020.4583652
2027,49282.492065,44802.2655137
2028,49042.4799283,44584.0726621
2029,48722.4637461,44293.1488601
2030,48242.4394727,43856.763157
2031,47922.4232905,43565.839355
2032,47602.4071083,43274.915553
2033,47282.390926,42983.9917509
2034,47042.3787893,42765.7988994
2035,46642.3585615,42402.1441468
2036,46322.3423793,42111.2203448
2037,46002.3261971,41820.2965428
2038,45762.3140604,41602.1036912
