year,Base case diesel consumed,Modeled transmission and interties
2021,101765.145952,50882.5729762
2022,101285.121679,50642.5608395
2023,100805.097406,50402.5487029
2024,100325.073132,50162.5365662
2025,99845.048859,49922.5244295
2026,99045.0084034,49522.5042017
2027,98564.98413,49282.492065
2028,98084.9598567,49042.4799283
2029,97444.9274922,48722.4637461
2030,96484.8789455,48242.4394727
2031,95844.846581,47922.4232905
2032,95204.8142165,47602.4071083
2033,94564.781852,47282.390926
2034,94084.7575787,47042.3787893
2035,93284.7171231,46642.3585615
2036,92644.6847586,46322.3423793
2037,92004.6523941,46002.3261971
2038,91524.6281207,45762.3140604
2039,90884.5957563,45442.2978781
2040,90244.5633918,45122.2816959
