year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,42634.3233346,31559.1592676
2018,42634.3233346,31559.1592676
2019,42634.3233346,31559.1592676
2020,42634.3233346,31559.1592676
2021,42634.3233346,31559.1592676
2022,42634.3233346,31559.1592676
2023,42634.3233346,31559.1592676
2024,42634.3233346,31559.1592676
2025,42634.3233346,31559.1592676
2026,42634.3233346,31559.1592676
2027,42634.3233346,31559.1592676
2028,42634.3233346,31559.1592676
2029,42634.3233346,31559.1592676
2030,42634.3233346,31559.1592676
2031,42634.3233346,31559.1592676
