year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6047.06601921,3878.62971528
2018,6014.27958261,3857.60026945
2019,5981.26874555,3836.42689163
2020,5949.53905526,3816.07525015
2021,5918.76423214,3796.33606704
2022,5890.02832346,3777.90465767
2023,5862.99972261,3760.56832728
2024,5835.85059809,3743.15469217
2025,5804.31334616,3722.92648198
2026,5762.49828747,3696.10601588
2027,5731.30329616,3676.097334
2028,5704.25405314,3658.74776358
2029,5670.67722089,3637.21135255
2030,5613.47441771,3600.52108135
2031,5577.42784881,3577.40056426
