year,Base case diesel consumed,Modeled residential energy efficiency
2017,85830.5700678,59272.3008222
2018,86822.6238442,60264.3545986
2019,87814.6776205,61256.4083749
2020,88806.7313969,62248.4621513
2021,89798.7851732,63240.5159276
2022,91782.8927259,65224.6234803
2023,92774.9465022,66216.6772566
2024,93767.0002786,67208.731033
2025,94759.0540549,68200.7848093
2026,95751.1078313,69192.8385857
2027,96743.1616076,70184.892362
2028,97735.215384,71176.9461384
2029,99719.3229366,73161.0536911
2030,101703.430489,75145.1612437
2031,102695.484266,76137.2150201
