year,Base case cost,Modeled biomass for heat (cordwood)
2017,452342.910595,526140.202343
2018,491023.894909,557090.183411
2019,544531.479223,600554.358511
2020,569558.743537,619791.583809
2021,587968.423537,634084.130555
2022,598708.727852,641206.877236
2023,603172.072166,643020.562733
2024,607495.01648,644722.970305
2025,611677.560794,646313.417417
2026,618670.985109,650273.478607
2027,624013.269423,652844.041291
2028,627739.513737,654059.569814
2029,632765.898051,656366.58448
2030,634770.802365,656146.417438
2031,640910.12668,659381.779395
2032,652247.24668,667839.026258
2033,659511.210994,672012.122616
2034,672160.170994,681593.187932
2035,674927.015308,682018.130748
2036,681699.579622,685767.144225
